,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist,track,album
39,0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,130.041,audio_features,3Vi5XqYrmQgOYBajMWSvCi,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,https://api.spotify.com/v1/tracks/3Vi5XqYrmQgOYBajMWSvCi,https://api.spotify.com/v1/audio-analysis/3Vi5XqYrmQgOYBajMWSvCi,210560,4,Doja Cat,Need to Know,Planet Her
40,0.793,0.793,11,-4.521,0,0.083,0.0123,0.0,0.0951,0.679,123.95,audio_features,3PfIrDoz19wz7qK7tYeu62,spotify:track:3PfIrDoz19wz7qK7tYeu62,https://api.spotify.com/v1/tracks/3PfIrDoz19wz7qK7tYeu62,https://api.spotify.com/v1/audio-analysis/3PfIrDoz19wz7qK7tYeu62,183290,4,Dua Lipa,Don't Start Now,Future Nostalgia
41,0.8,0.658,1,-6.142,0,0.079,0.25,0.0,0.111,0.462,140.042,audio_features,7hxHWCCAIIxFLCzvDgnQHX,spotify:track:7hxHWCCAIIxFLCzvDgnQHX,https://api.spotify.com/v1/tracks/7hxHWCCAIIxFLCzvDgnQHX,https://api.spotify.com/v1/audio-analysis/7hxHWCCAIIxFLCzvDgnQHX,195429,4,Internet Money,"Lemonade (feat. Gunna, Don Toliver & NAV)",B4 The Storm
42,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,audio_features,6Uj1ctrBOjOas8xZXGqKk4,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,https://api.spotify.com/v1/tracks/6Uj1ctrBOjOas8xZXGqKk4,https://api.spotify.com/v1/audio-analysis/6Uj1ctrBOjOas8xZXGqKk4,172627,4,Doja Cat,Woman,Planet Her
43,0.453,0.35,9,-11.639,0,0.0425,0.827,0.00122,0.144,0.279,72.017,audio_features,1J14CdDAvBTE1AJYUOwl6C,spotify:track:1J14CdDAvBTE1AJYUOwl6C,https://api.spotify.com/v1/tracks/1J14CdDAvBTE1AJYUOwl6C,https://api.spotify.com/v1/audio-analysis/1J14CdDAvBTE1AJYUOwl6C,185147,3,Duncan Laurence,Arcade,Small Town Boy (Track By Track)
44,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,audio_features,3YJJjQPAbDT7mGpX3WtQ9A,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A,https://api.spotify.com/v1/tracks/3YJJjQPAbDT7mGpX3WtQ9A,https://api.spotify.com/v1/audio-analysis/3YJJjQPAbDT7mGpX3WtQ9A,279204,4,SZA,Good Days,Good Days
45,0.903,0.817,8,-3.972,1,0.095,0.0272,0.000311,0.242,0.732,102.014,audio_features,6D2TCm4nf5nxAcdGJ7w3QP,spotify:track:6D2TCm4nf5nxAcdGJ7w3QP,https://api.spotify.com/v1/tracks/6D2TCm4nf5nxAcdGJ7w3QP,https://api.spotify.com/v1/audio-analysis/6D2TCm4nf5nxAcdGJ7w3QP,217360,4,J Balvin,Qué Más Pues?,JOSE
46,0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,audio_features,6cx06DFPPHchuUAcTxznu9,spotify:track:6cx06DFPPHchuUAcTxznu9,https://api.spotify.com/v1/tracks/6cx06DFPPHchuUAcTxznu9,https://api.spotify.com/v1/audio-analysis/6cx06DFPPHchuUAcTxznu9,166028,4,Joel Corry,Head & Heart (feat. MNEK),Head & Heart (feat. MNEK)
47,0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,audio_features,6Im9k8u9iIzKMrmV7BWtlF,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,https://api.spotify.com/v1/tracks/6Im9k8u9iIzKMrmV7BWtlF,https://api.spotify.com/v1/audio-analysis/6Im9k8u9iIzKMrmV7BWtlF,173711,4,Ariana Grande,34+35,Positions
48,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,audio_features,45bE4HXI0AwGZXfZtMp8JR,spotify:track:45bE4HXI0AwGZXfZtMp8JR,https://api.spotify.com/v1/tracks/45bE4HXI0AwGZXfZtMp8JR,https://api.spotify.com/v1/audio-analysis/45bE4HXI0AwGZXfZtMp8JR,169266,4,Tate McRae,you broke me first,you broke me first
49,0.715,0.622,4,-5.102,0,0.046,0.163,0.0,0.0948,0.808,80.015,audio_features,2rCbl9naJYhaxjLsfx88uM,spotify:track:2rCbl9naJYhaxjLsfx88uM,https://api.spotify.com/v1/tracks/2rCbl9naJYhaxjLsfx88uM,https://api.spotify.com/v1/audio-analysis/2rCbl9naJYhaxjLsfx88uM,195053,4,Sebastian Yatra,Pareja Del Año,Pareja Del Año
